Time(s),CH1(V)
5.8000000000000016e-08,11.3726
5.8999999999999986e-08,11.414
6.000000000000006e-08,11.5382
6.100000000000003e-08,11.5382
6.2e-08,11.3726
6.300000000000007e-08,11.3726
6.400000000000004e-08,11.4968
6.500000000000001e-08,11.4968
6.599999999999998e-08,11.414
6.700000000000006e-08,11.5382
6.800000000000003e-08,11.414
6.9e-08,11.414
7.000000000000007e-08,11.4968
7.100000000000004e-08,11.3726
7.200000000000001e-08,11.4968
7.299999999999998e-08,11.4968
7.400000000000005e-08,11.3726
7.500000000000002e-08,11.4968
7.599999999999999e-08,11.3726
7.700000000000007e-08,11.4968
7.800000000000004e-08,11.414
7.9e-08,11.414
7.999999999999998e-08,11.4968
8.100000000000005e-08,11.5382
8.200000000000002e-08,11.3726
8.299999999999999e-08,11.4968
8.400000000000006e-08,11.414
8.500000000000003e-08,11.4968
8.6e-08,11.3726
8.700000000000008e-08,11.4968
8.800000000000005e-08,11.414
8.900000000000002e-08,11.4968
8.999999999999999e-08,11.3726
9.100000000000006e-08,11.5382
9.200000000000003e-08,11.414
9.3e-08,11.3726
9.400000000000007e-08,11.4968
9.500000000000004e-08,11.414
9.600000000000001e-08,11.4968
9.699999999999998e-08,11.414
9.800000000000006e-08,11.4968
9.900000000000003e-08,11.3726
1e-07,11.4968
1.0100000000000007e-07,11.414
1.0200000000000004e-07,11.4968
1.0300000000000001e-07,11.4968
1.0399999999999998e-07,11.3726
1.0500000000000005e-07,11.414
1.0600000000000002e-07,11.4968
1.0699999999999999e-07,11.414
1.0800000000000007e-07,11.4968
1.0900000000000004e-07,11.4968
1.1e-07,11.414
1.1100000000000008e-07,11.3726
1.1200000000000005e-07,11.4968
1.1300000000000002e-07,11.414
1.1399999999999999e-07,11.4968
1.1500000000000006e-07,11.4968
1.1600000000000003e-07,11.3726
1.17e-07,11.4968
1.1800000000000008e-07,11.414
1.1900000000000005e-07,11.414
1.2000000000000002e-07,11.4968
1.2099999999999998e-07,11.3726
1.2200000000000006e-07,11.4968
1.2300000000000003e-07,11.414
1.24e-07,11.4968
1.2500000000000007e-07,11.414
1.2600000000000004e-07,11.4968
1.27e-07,11.3726
1.2799999999999998e-07,11.4968
1.2900000000000006e-07,11.414
1.3000000000000003e-07,11.4968
1.31e-07,11.3726
1.3200000000000007e-07,11.4968
1.3300000000000004e-07,11.5382
1.34e-07,11.3726
1.3500000000000008e-07,11.4968
1.3600000000000005e-07,11.3726
1.3700000000000002e-07,11.414
1.38e-07,11.4968
1.3900000000000007e-07,11.3726
1.4000000000000004e-07,11.4968
1.41e-07,11.4968
1.4200000000000008e-07,11.414
1.4300000000000005e-07,11.3726
1.4400000000000002e-07,11.4968
1.45e-07,11.414
1.4600000000000006e-07,11.4968
1.4700000000000003e-07,11.414
1.48e-07,11.4968
1.4900000000000008e-07,11.3726
1.5000000000000005e-07,11.4968
1.5100000000000002e-07,11.4968
1.5199999999999998e-07,11.3726
1.5300000000000006e-07,11.3726
1.5400000000000003e-07,11.4968
1.55e-07,11.414
1.5600000000000007e-07,11.4968
1.5700000000000004e-07,11.4968
1.58e-07,11.3726
1.5899999999999998e-07,11.4968
1.6000000000000006e-07,11.3726
1.6100000000000003e-07,11.3726
1.62e-07,11.5382
1.6300000000000007e-07,11.3726
1.6400000000000004e-07,11.4968
1.65e-07,11.4968
1.6600000000000008e-07,11.414
1.6700000000000005e-07,11.3726
1.6800000000000002e-07,11.4968
1.69e-07,11.3726
1.7000000000000007e-07,11.4968
1.7100000000000004e-07,11.4968
1.72e-07,11.3726
1.7300000000000008e-07,11.3726
1.7400000000000005e-07,11.4968
1.7500000000000002e-07,11.3726
1.76e-07,11.5382
1.7700000000000006e-07,11.4968
1.7800000000000003e-07,11.3726
1.79e-07,11.3726
1.8000000000000008e-07,11.5382
1.8100000000000005e-07,11.3726
1.8200000000000002e-07,11.4968
1.8299999999999998e-07,11.3726
1.8400000000000006e-07,11.4968
1.8500000000000003e-07,11.4968
1.86e-07,11.414
1.8700000000000007e-07,11.4968
1.8800000000000004e-07,11.3726
1.89e-07,11.5382
1.9000000000000009e-07,11.3726
1.9100000000000006e-07,11.3726
1.9200000000000003e-07,11.4968
1.93e-07,11.3726
1.9400000000000007e-07,11.4968
1.9500000000000004e-07,11.3726
1.96e-07,11.5382
1.9700000000000008e-07,11.414
1.9800000000000005e-07,11.4968
1.9900000000000002e-07,11.5382
2e-07,11.3726
2.0100000000000007e-07,11.3726
2.0200000000000004e-07,11.4968
2.03e-07,11.4968
2.0400000000000008e-07,11.3726
2.0500000000000005e-07,11.4968
2.0600000000000002e-07,11.3726
2.07e-07,11.3726
2.0800000000000006e-07,11.4968
2.0900000000000003e-07,11.4554
2.1e-07,11.3726
2.1100000000000008e-07,11.4968
2.1200000000000005e-07,11.414
2.1300000000000001e-07,11.4968
2.1399999999999998e-07,11.3726
2.1500000000000006e-07,11.3726
2.1600000000000003e-07,11.4968
2.17e-07,11.3726
2.1800000000000007e-07,11.5382
2.1900000000000004e-07,11.3726
2.2e-07,11.4968
2.2100000000000009e-07,11.3726
2.2200000000000006e-07,11.5382
2.2300000000000002e-07,11.4968
2.24e-07,11.3726
2.2500000000000007e-07,11.414
2.2600000000000004e-07,11.4968
2.27e-07,11.3726
2.2800000000000008e-07,11.4968
2.2900000000000005e-07,11.4968
2.3000000000000002e-07,11.414
2.31e-07,11.3726
2.3200000000000007e-07,11.4968
2.3300000000000003e-07,11.3726
2.34e-07,11.4968
2.3500000000000008e-07,11.4968
2.3600000000000005e-07,11.3726
2.3700000000000002e-07,11.4968
2.38e-07,11.3726
2.3900000000000006e-07,11.414
2.4000000000000003e-07,11.4968
2.41e-07,11.4968
2.420000000000001e-07,11.3726
2.4300000000000005e-07,11.4968
2.44e-07,11.3726
2.450000000000001e-07,11.4968
2.4600000000000006e-07,11.3726
2.4700000000000003e-07,11.3726
2.48e-07,11.4554
2.4900000000000007e-07,11.414
2.5000000000000004e-07,11.4968
2.51e-07,11.3726
2.520000000000001e-07,11.4968
2.5300000000000006e-07,11.3726
2.54e-07,11.4968
2.55e-07,11.3726
2.5600000000000007e-07,11.4968
2.5700000000000004e-07,11.4968
2.58e-07,11.3726
2.590000000000001e-07,11.414
2.6000000000000005e-07,11.4968
2.61e-07,11.4968
2.62e-07,11.3726
2.6300000000000007e-07,11.4968
2.6400000000000003e-07,11.3726
2.65e-07,11.3726
2.660000000000001e-07,11.4968
2.6700000000000005e-07,11.4968
2.68e-07,11.3726
2.690000000000001e-07,11.414
2.7000000000000006e-07,11.4968
2.7100000000000003e-07,11.4968
2.72e-07,11.3726
2.730000000000001e-07,11.3726
2.7400000000000004e-07,11.4968
2.75e-07,11.3726
2.760000000000001e-07,11.4968
2.7700000000000006e-07,11.3726
2.7800000000000003e-07,11.4968
2.79e-07,11.4968
2.8000000000000007e-07,11.3726
2.8100000000000004e-07,11.4968
2.82e-07,11.3726
2.830000000000001e-07,11.4968
2.8400000000000005e-07,11.3726
2.85e-07,11.4968
2.86e-07,11.3726
2.8700000000000007e-07,11.3726
2.8800000000000004e-07,11.4968
2.89e-07,11.4968
2.900000000000001e-07,11.3726
2.9100000000000005e-07,11.4968
2.92e-07,11.3726
2.93e-07,11.414
2.9400000000000007e-07,11.4968
2.9500000000000003e-07,11.4968
2.96e-07,11.3726
2.970000000000001e-07,11.4968
2.9800000000000005e-07,11.414
2.99e-07,11.4968
3.000000000000001e-07,11.3726
3.0100000000000006e-07,11.4968
3.0200000000000003e-07,11.3726
3.03e-07,11.4968
3.040000000000001e-07,11.3726
3.0500000000000004e-07,11.5382
3.06e-07,11.3726
3.070000000000001e-07,11.3726
3.0800000000000006e-07,11.4968
3.0900000000000003e-07,11.3726
3.1e-07,11.4968
3.1100000000000007e-07,11.4968
3.1200000000000004e-07,11.3726
3.13e-07,11.3726
3.140000000000001e-07,11.4968
3.1500000000000005e-07,11.4968
3.16e-07,11.3726
3.17e-07,11.4968
3.1800000000000007e-07,11.3726
3.1900000000000004e-07,11.4968
3.2e-07,11.3726
3.210000000000001e-07,11.3726
3.2200000000000005e-07,11.4968
3.23e-07,11.4968
3.240000000000001e-07,11.3726
3.2500000000000006e-07,11.3726
3.2600000000000003e-07,11.4968
3.27e-07,11.3726
3.280000000000001e-07,11.4968
3.2900000000000005e-07,11.4968
3.3e-07,11.3726
3.310000000000001e-07,11.4968
3.3200000000000006e-07,11.3726
3.3300000000000003e-07,11.3726
3.34e-07,11.4968
3.350000000000001e-07,11.4968
3.3600000000000004e-07,11.3726
3.37e-07,11.4968
3.380000000000001e-07,11.3726
3.3900000000000006e-07,11.3726
3.4000000000000003e-07,11.4968
3.41e-07,11.414
3.4200000000000007e-07,11.4968
3.4300000000000004e-07,11.4968
3.44e-07,11.3726
3.450000000000001e-07,11.3726
3.4600000000000005e-07,11.4968
3.47e-07,11.414
3.48e-07,11.4968
3.4900000000000007e-07,11.4968
3.5000000000000004e-07,11.3726
3.51e-07,11.3726
3.520000000000001e-07,11.5382
3.5300000000000005e-07,11.4968
3.54e-07,11.3312
